,closeness
avere,0.06633767904273087
provare,0.06486949932326522
sentire,0.054516867676886654
essere_in,0.028523816291489097
conversion_stative,0.03273260301132599
conversion+si_stative,0.0246345741302142
andare_in,0.019788417147962905
prendere,0.030155793265559606
conversion+si_inchoative,0.044270413391999844
parasynthesis+si_inchoative,0.04361291917669489
dare,0.05663251904386656
fare,0.051756566857637014
mettere,0.047395209974616284
conversion_causative,0.045409289105518225
parasynthesis,0.039943881073480327
